date_of_collection,name,owner,description,homepage,forks,watchers,license
2020-11-17,INF502-Fall2020,igorsteinmacher,None,None,30,3,{'key': 'unlicense'| 'name': 'The Unlicense'| 'spdx_id': 'Unlicense'| 'url': 'https://api.github.com/licenses/unlicense'| 'node_id': 'MDc6TGljZW5zZTE1'}
2020-11-17,CS499-OSS,igorsteinmacher,Open Source Software Development Course at NAU,,55,12,{'key': 'cc0-1.0'| 'name': 'Creative Commons Zero v1.0 Universal'| 'spdx_id': 'CC0-1.0'| 'url': 'https://api.github.com/licenses/cc0-1.0'| 'node_id': 'MDc6TGljZW5zZTY='}
2020-11-17,DeepDIH,XiwenChen-NAU,None,None,0,2,None
2020-11-17,DeepDIH,XiwenChen-NAU,None,None,0,2,None
2020-11-17,INF502-Fall2020,igorsteinmacher,None,None,30,3,{'key': 'unlicense'| 'name': 'The Unlicense'| 'spdx_id': 'Unlicense'| 'url': 'https://api.github.com/licenses/unlicense'| 'node_id': 'MDc6TGljZW5zZTE1'}
2020-11-17,INF502-Fall2020,igorsteinmacher,None,None,30,3,{'key': 'unlicense'| 'name': 'The Unlicense'| 'spdx_id': 'Unlicense'| 'url': 'https://api.github.com/licenses/unlicense'| 'node_id': 'MDc6TGljZW5zZTE1'}
2020-11-17,DeepDIH,XiwenChen-NAU,None,None,0,2,None
2020-11-17,INF502-Fall2020,igorsteinmacher,None,None,30,3,{'key': 'unlicense'| 'name': 'The Unlicense'| 'spdx_id': 'Unlicense'| 'url': 'https://api.github.com/licenses/unlicense'| 'node_id': 'MDc6TGljZW5zZTE1'}
2020-11-17,DeepDIH,XiwenChen-NAU,None,None,0,2,None
2020-11-17,DeepDIH,XiwenChen-NAU,None,None,0,2,None
